UserName,GPA
s961303103,16.50
s961303107,14.00
s961303118,17.50
s961303121,16.50
s961303124,15.50
s971303103,15.00
s971303104,15.50
s971303105,18.00
s971303106,17.00
s971303107,16.00
s971303108,17.50
s971303109,14.00
s971303110,17.50
s971303113,15.50
s971303114,16.00
s971303115,14.00
s971303118,16.00
s971303119,16.00
s971303120,14.50
s971303121,15.50
s971303123,17.00
s971303125,12.50
s971303126,13.50
s971303129,17.00
s971303137,17.00
s971303138,18.00
s971303407,14.00
s971303901,18.50
s981303204,17.50
