UserName,QuestionID,Title,UserRespnse,Title,ExamID,Title,ResourcePrimaryName
s971603101,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,10,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603102,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,100,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603103,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,1000,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603104,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,10,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603105,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,100,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603106,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,1000,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603107,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,1000,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603108,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,10,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603109,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,1000,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603110,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,1000,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603111,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,100,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603112,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,1000,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603114,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,10,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603115,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,1000,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603116,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,1000,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603118,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,100,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603119,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,10,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603121,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,100,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603123,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,10,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603125,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,100,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603126,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,0,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603127,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,10,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603128,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,100,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603130,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,1000,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603131,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,100,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603133,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,100,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603134,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,1000,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603135,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,1000,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603136,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,1000,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603138,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,10,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603139,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,100,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603140,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,100,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603141,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,100,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603146,33044,در تعریف زنا عبارت «کونها غیرمعقود علیها» به چه علتی آورده شده است:,1000,لإخراج وطء الزوجة المحرمة لعارض,3246,فقه حدود,فقه۸ گروه (۱)
s971603101,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,1,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603102,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,100,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603103,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,100,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603104,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,100,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603105,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,1000,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603106,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,1000,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603107,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,1000,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603108,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,1000,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603109,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,100,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603110,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,1,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603111,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,1000,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603112,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,10,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603114,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,1,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603115,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,1,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603116,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,100,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603118,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,1000,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603119,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,1000,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603121,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,1,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603123,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,1000,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603125,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,1000,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603126,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,100,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603127,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,1,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603128,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,1000,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603130,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,1000,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603131,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,100,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603133,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,1,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603134,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,100,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603135,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,1000,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603136,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,1,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603138,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,100,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603139,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,10,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603140,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,1000,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603141,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,1000,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603146,33045,اگر اقرارکننده زنا را به زن معینی نسبت دهد؛ مثلاً بگوید با فلانی زنا کردم؛ طبق نظر شهید ثانی .... و طبق قانون مجازات اسلامی.....  .,100,حد قذف دارد - حد قذف ندارد,3246,فقه حدود,فقه۸ گروه (۱)
s971603101,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,10,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
s971603102,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,1000,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
s971603103,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,100,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
s971603104,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,1000,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
s971603105,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,100,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
s971603106,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,10,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
s971603107,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,100,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
s971603108,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,100,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
s971603109,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,100,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
s971603110,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,100,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
s971603111,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,100,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
s971603112,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,1,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
s971603114,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,100,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
s971603115,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,10,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
s971603116,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,100,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
s971603118,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,10,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
s971603119,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,100,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
s971603121,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,10,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
s971603123,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,10,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
s971603125,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,100,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
s971603126,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,100,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
s971603127,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,10,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
s971603128,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,10,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
s971603130,33046,عبارت «لا یقدح تقادم الزنا فی صحة الشهادة» بیانگر چیست؟,100,بی‌تأثیر بودن گذشت زمان در پذیرش شهادت,3246,فقه حدود,فقه۸ گروه (۱)
