ExamID,UserName,Title,IPAddress,Browser,EntranceTime,ExamEndTime,FinalGrade
3058,s971804102,کوییز 1,109.125.171.163,Chrome 89.0,2021-04-12 13:32:15.370,2021-04-12 13:48:32.703,12.00
3058,s981804203,کوییز 1,5.123.175.166,Chrome 89.0,2021-04-12 13:30:18.737,2021-04-12 13:43:06.983,18.00
3058,s981804207,کوییز 1,5.213.199.151,Chrome 89.0,2021-04-12 13:43:35.773,2021-04-12 13:49:01.507,17.00
3058,s981804210,کوییز 1,93.110.153.79,Safari 14.0,2021-04-12 13:31:26.883,2021-04-12 13:41:53.667,16.00
3058,s981804211,کوییز 1,5.22.76.192,Chrome 85.0,2021-04-12 13:30:14.513,2021-04-12 13:44:24.497,18.00
3058,s981804213,کوییز 1,46.100.252.252,Safari 0.0,2021-04-12 13:43:15.687,NULL,11.00
3058,s981804217,کوییز 1,78.39.19.36,Firefox 87.0,2021-04-12 13:32:12.980,2021-04-12 13:47:13.213,12.00
3058,s981804218,کوییز 1,NULL,NULL,NULL,NULL,0.00
3058,s981804219,کوییز 1,158.58.70.174,Chrome 88.0,2021-04-12 13:30:38.207,2021-04-12 13:47:17.533,17.00
3058,s981804220,کوییز 1,5.124.24.52,Chrome 89.0,2021-04-12 13:30:31.830,2021-04-12 13:47:11.870,14.00
3058,s981804222,کوییز 1,5.218.208.193,Chrome 83.0,2021-04-12 13:30:17.893,2021-04-12 13:41:35.663,17.00
3058,s981804223,کوییز 1,37.153.191.133,Chrome 83.0,2021-04-12 13:30:25.130,2021-04-12 13:47:46.247,11.00
3253,s981804223,کوییز 2,95.162.89.206,Chrome 83.0,2021-05-03 13:31:02.850,2021-05-03 13:50:21.900,14.00
3253,s981804222,کوییز 2,5.250.89.97,Chrome 83.0,2021-05-03 13:30:07.907,2021-05-03 13:42:10.383,17.00
3253,s981804220,کوییز 2,5.123.22.1,Chrome 81.0,2021-05-03 13:33:49.537,2021-05-03 13:50:05.243,10.00
3253,s981804219,کوییز 2,5.250.103.158,Chrome 88.0,2021-05-03 13:30:49.460,NULL,0.00
3253,s981804218,کوییز 2,NULL,NULL,NULL,NULL,0.00
3253,s981804217,کوییز 2,5.218.182.49,Chrome 87.0,2021-05-03 13:31:16.333,2021-05-03 13:48:22.630,11.00
3253,s981804213,کوییز 2,78.39.33.174,Safari 0.0,2021-05-03 13:32:32.050,2021-05-03 13:51:14.027,11.00
3253,s981804211,کوییز 2,93.110.62.123,Chrome 85.0,2021-05-03 13:30:12.280,2021-05-03 13:47:24.360,19.00
3253,s981804210,کوییز 2,NULL,NULL,NULL,NULL,0.00
3253,s981804207,کوییز 2,2.183.11.136,Chrome 90.0,2021-05-03 13:30:50.520,2021-05-03 13:49:27.930,4.00
3253,s981804203,کوییز 2,93.110.208.144,Chrome 90.0,2021-05-03 13:30:07.217,2021-05-03 13:50:15.697,11.00
3253,s971804102,کوییز 2,109.125.168.162,Chrome 90.0,2021-05-03 13:30:54.943,2021-05-03 13:49:13.133,12.00
3269,s971804102,میان ترم-ژئومرفولوژي -محیط زیست,109.125.174.217,Chrome 90.0,2021-05-11 13:30:17.020,2021-05-11 13:46:21.817,10.00
3269,s971804114,میان ترم-ژئومرفولوژي -محیط زیست,37.255.16.152,Chrome 90.0,2021-05-11 13:30:26.497,2021-05-11 13:46:28.300,11.00
3269,s981804203,میان ترم-ژئومرفولوژي -محیط زیست,5.124.247.164,Chrome 90.0,2021-05-11 13:30:03.973,2021-05-11 13:45:35.607,11.00
3269,s981804207,میان ترم-ژئومرفولوژي -محیط زیست,5.233.119.134,Chrome 90.0,2021-05-11 13:32:19.017,2021-05-11 13:46:24.973,12.00
