UserName,GPA
s971506103,14.54
s981506901,15.99
s981506903,16.98
s981506904,17.99
s991506101,15.98
s991506102,19.91
s991506103,13.98
s991506104,13.87
s991506105,14.98
s991506106,15.98
s991506107,14.98
s991506108,19.99
s991506110,14.54
s991506111,14.87
s991506109,18.98
s991506112,19.11
s991506113,16.98
s991506114,15.55
s991506115,12.54
s991506116,17.98
s991506117,15.87
s991506118,14.76
s991506119,14.98
s991506121,12.99
s991506122,11.98
s991506123,10.55
s991506124,13.76
s991506125,12.87
s991506126,19.98
s991506128,14.66
s991506129,12.76
s991506130,12.98
s991506131,11.98
s991506132,14.23
s991506133,16.67
s991506134,14.67
s991506135,19.98
s991506137,13.87
s991506138,12.87
s971506116,18.98
s971506132,19.77
s961506106,18.66
s961506132,15.76
s961506901,13.54
s981506902,16.87
s971506502,13.87
s971506124,19.22
