ExamID,Title,UserName,IPAddress,Browser,EntranceTime,ExamEndTime,FinalGrade
3,اصلاح تستی,s951206502,93.110.191.39,Chrome 87.0,2021-03-06 17:40:34.007,2021-03-06 17:56:45.483,12.00
3,اصلاح تستی,s941206123,69.194.109.67,Chrome 88.0,2021-03-06 17:40:17.187,2021-03-06 17:56:14.030,13.30
3,اصلاح تستی,s971206901,37.254.250.182,Firefox 81.0,2021-03-06 17:41:50.850,2021-03-06 17:56:13.030,12.70
3,اصلاح تستی,s981206202,37.44.58.141,Chrome 58.0,2021-03-06 17:41:25.407,2021-03-06 17:53:54.103,17.20
3,اصلاح تستی,s981206204,93.110.251.12,Chrome 86.0,2021-03-06 17:40:40.243,2021-03-06 17:52:28.720,12.00
3,اصلاح تستی,s981206205,5.123.105.40,Chrome 61.0,2021-03-06 17:41:01.010,2021-03-06 17:55:09.053,13.00
3,اصلاح تستی,s981206209,5.126.194.114,Chrome 88.0,2021-03-06 17:40:07.127,2021-03-06 17:55:58.573,13.90
3,اصلاح تستی,s981206212,46.245.103.114,Chrome 88.0,2021-03-06 17:40:40.900,2021-03-06 17:55:54.653,18.00
3,اصلاح تستی,s981206218,95.82.53.189,Firefox 86.0,2021-03-06 17:40:03.797,2021-03-06 17:55:25.593,11.00
3,اصلاح تستی,s981206224,5.123.197.61,Chrome 80.0,2021-03-06 17:40:10.767,2021-03-06 17:56:37.020,18.00
3,اصلاح تستی,s981206223,86.57.0.140,Chrome 83.0,2021-03-06 17:41:53.523,2021-03-06 17:55:23.123,18.00
3,اصلاح تستی,s981206225,93.110.122.104,Chrome 88.0,2021-03-06 17:40:18.063,2021-03-06 17:56:14.920,18.00
3,اصلاح تستی,s981206230,95.162.193.142,Chrome 88.0,2021-03-06 17:40:20.033,2021-03-06 17:53:14.327,19.00
3,اصلاح تستی,s981206226,5.218.6.80,Chrome 85.0,2021-03-06 17:40:48.993,2021-03-06 17:56:46.637,16.00
3056,سبزی های برگی,s971206128,188.159.16.3,Chrome 89.0,2021-04-06 13:10:09.263,2021-04-06 13:13:44.667,16.00
3056,سبزی های برگی,s971206901,130.255.252.80,Firefox 68.0,2021-04-06 13:10:08.090,2021-04-06 13:14:38.280,16.00
3056,سبزی های برگی,s971206122,93.110.91.106,Chrome 58.0,2021-04-06 13:11:03.940,2021-04-06 13:14:34.263,17.00
3056,سبزی های برگی,s971206127,37.254.57.173,Chrome 83.0,2021-04-06 13:10:07.247,2021-04-06 13:15:02.200,16.00
3056,سبزی های برگی,s971206115,85.239.223.234,Chrome 80.0,2021-04-06 13:10:16.327,2021-04-06 13:13:20.153,17.00
3056,سبزی های برگی,s971206117,151.247.139.202,Safari 13.1,2021-04-06 13:10:18.640,2021-04-06 13:14:13.273,16.00
3056,سبزی های برگی,s971206118,93.110.82.167,Chrome 89.0,2021-04-06 13:10:46.873,2021-04-06 13:15:07.590,14.00
3056,سبزی های برگی,s971206121,5.124.109.64,Chrome 83.0,2021-04-06 13:10:08.683,2021-04-06 13:14:20.527,16.00
3056,سبزی های برگی,s971206105,158.58.11.35,Chrome 71.0,2021-04-06 13:10:38.157,2021-04-06 13:13:32.950,15.00
3056,سبزی های برگی,s971206101,5.218.99.159,Chrome 88.0,2021-04-06 13:10:13.420,2021-04-06 13:14:48.870,14.00
3056,سبزی های برگی,s971206104,69.194.82.56,Chrome 83.0,2021-04-06 13:10:11.123,2021-04-06 13:14:45.497,16.00
3056,سبزی های برگی,s971206106,69.194.101.71,Firefox 87.0,2021-04-06 13:10:09.857,2021-04-06 13:13:13.887,16.00
3056,سبزی های برگی,s971206107,5.218.25.136,Chrome 83.0,2021-04-06 13:10:06.920,2021-04-06 13:13:38.607,17.00
3056,سبزی های برگی,s971206108,5.22.35.76,Chrome 38.0,2021-04-06 13:11:05.160,2021-04-06 13:16:16.437,13.00
3056,سبزی های برگی,s971206110,5.234.55.36,Firefox 87.0,2021-04-06 13:10:09.340,2021-04-06 13:15:59.513,15.00
3056,سبزی های برگی,s971206111,5.233.235.17,Chrome 89.0,2021-04-06 13:11:20.740,2021-04-06 13:14:22.247,13.00
3056,سبزی های برگی,s971206112,37.255.154.26,Chrome 89.0,2021-04-06 13:10:08.607,2021-04-06 13:14:08.057,16.00
3056,سبزی های برگی,s971206113,93.110.111.230,Chrome 81.0,2021-04-06 13:10:26.873,2021-04-06 13:15:00.357,14.00
3125,آفات گیاهان باغبانی- میان ترم 1,s971206901,69.194.124.211,Firefox 68.0,2021-04-17 12:30:52.240,2021-04-17 12:56:55.337,13.00
3125,آفات گیاهان باغبانی- میان ترم 1,s981206202,188.208.86.125,Chrome 58.0,2021-04-17 12:30:25.580,2021-04-17 12:57:16.167,19.00
3125,آفات گیاهان باغبانی- میان ترم 1,s981206205,5.250.92.70,Chrome 61.0,2021-04-17 12:30:42.797,2021-04-17 12:47:31.693,12.00
3125,آفات گیاهان باغبانی- میان ترم 1,s981206208,93.110.84.243,Chrome 85.0,2021-04-17 12:30:09.667,2021-04-17 13:00:02.170,19.00
3125,آفات گیاهان باغبانی- میان ترم 1,s981206204,5.218.244.199,Chrome 86.0,2021-04-17 12:30:07.790,2021-04-17 12:45:13.490,13.00
3125,آفات گیاهان باغبانی- میان ترم 1,s981206226,158.58.25.137,Chrome 85.0,2021-04-17 12:30:31.407,2021-04-17 12:50:46.440,12.00
3125,آفات گیاهان باغبانی- میان ترم 1,s981206231,93.110.232.153,Chrome 89.0,2021-04-17 12:31:10.790,2021-04-17 12:46:58.503,10.00
3125,آفات گیاهان باغبانی- میان ترم 1,s981206230,5.62.232.97,Chrome 89.0,2021-04-17 12:30:20.293,2021-04-17 13:00:01.123,16.00
3125,آفات گیاهان باغبانی- میان ترم 1,s981206232,5.123.51.40,Safari 14.0,2021-04-17 12:30:06.870,2021-04-17 12:59:25.030,12.00
3125,آفات گیاهان باغبانی- میان ترم 1,s981206225,5.250.97.214,Chrome 89.0,2021-04-17 12:30:06.387,2021-04-17 12:52:08.203,15.00
3125,آفات گیاهان باغبانی- میان ترم 1,s981206223,5.218.173.116,Chrome 90.0,2021-04-17 12:33:54.843,2021-04-17 13:00:38.110,19.00
3125,آفات گیاهان باغبانی- میان ترم 1,s981206224,5.123.69.157,Chrome 89.0,2021-04-17 12:31:17.133,2021-04-17 12:57:10.573,15.00
3125,آفات گیاهان باغبانی- میان ترم 1,s981206218,158.58.14.131,Firefox 87.0,2021-04-17 12:30:08.277,2021-04-17 12:57:17.527,15.00
3125,آفات گیاهان باغبانی- میان ترم 1,s981206215,130.255.246.38,Chrome 89.0,2021-04-17 12:45:57.297,2021-04-17 12:51:39.580,11.00
3125,آفات گیاهان باغبانی- میان ترم 1,s981206212,5.218.107.80,Chrome 72.0,2021-04-17 12:30:23.120,2021-04-17 12:56:04.337,16.00
3125,آفات گیاهان باغبانی- میان ترم 1,s981206209,5.123.142.116,Chrome 89.0,2021-04-17 12:30:26.237,2021-04-17 12:55:17.877,15.00
3160,پرورش سبزی- ریشه ای ها,s971206128,89.43.97.85,Chrome 89.0,2021-04-20 13:00:08.583,2021-04-20 13:03:07.987,15.00
3160,پرورش سبزی- ریشه ای ها,s971206901,5.218.126.157,Firefox 68.0,2021-04-20 13:00:10.177,2021-04-20 13:04:02.620,16.00
3160,پرورش سبزی- ریشه ای ها,s971206127,93.110.97.83,Chrome 83.0,2021-04-20 13:00:19.303,2021-04-20 13:04:12.370,14.00
3160,پرورش سبزی- ریشه ای ها,s971206122,5.218.42.232,Chrome 89.0,2021-04-20 13:00:06.770,2021-04-20 13:02:37.223,15.00
3160,پرورش سبزی- ریشه ای ها,s971206121,37.255.155.37,Chrome 87.0,2021-04-20 13:00:11.753,2021-04-20 13:03:43.663,16.00
3160,پرورش سبزی- ریشه ای ها,s971206118,5.22.121.134,Chrome 90.0,2021-04-20 13:00:15.223,2021-04-20 13:03:01.267,15.00
3160,پرورش سبزی- ریشه ای ها,s971206117,151.247.122.225,Safari 13.1,2021-04-20 13:00:45.180,2021-04-20 13:03:41.807,15.00
3160,پرورش سبزی- ریشه ای ها,s971206115,85.239.221.76,Chrome 80.0,2021-04-20 13:00:20.037,2021-04-20 13:02:57.550,15.00
3160,پرورش سبزی- ریشه ای ها,s971206113,NULL,NULL,NULL,NULL,0.00
3160,پرورش سبزی- ریشه ای ها,s971206112,93.110.189.253,Chrome 89.0,2021-04-20 13:00:20.943,2021-04-20 13:03:04.517,16.00
3160,پرورش سبزی- ریشه ای ها,s971206111,5.127.110.194,Chrome 90.0,2021-04-20 13:00:22.303,2021-04-20 13:03:25.567,14.00
3160,پرورش سبزی- ریشه ای ها,s971206110,188.215.193.251,Firefox 87.0,2021-04-20 13:00:34.620,2021-04-20 13:05:09.357,14.00
3160,پرورش سبزی- ریشه ای ها,s971206108,5.218.30.18,Chrome 38.0,2021-04-20 13:00:22.880,2021-04-20 13:02:56.097,16.00
3160,پرورش سبزی- ریشه ای ها,s971206107,5.250.46.3,Chrome 87.0,2021-04-20 13:00:25.023,2021-04-20 13:03:37.180,16.00
3160,پرورش سبزی- ریشه ای ها,s971206106,78.39.36.140,Firefox 87.0,2021-04-20 13:00:10.613,2021-04-20 13:02:20.660,15.00
3160,پرورش سبزی- ریشه ای ها,s971206104,93.110.251.74,Chrome 83.0,2021-04-20 13:00:05.270,2021-04-20 13:02:52.023,15.00
3160,پرورش سبزی- ریشه ای ها,s971206101,5.22.101.53,Chrome 88.0,2021-04-20 13:00:06.957,2021-04-20 13:03:20.723,16.00
3160,پرورش سبزی- ریشه ای ها,s971206105,93.110.198.45,Chrome 71.0,2021-04-20 13:00:45.493,2021-04-20 13:03:22.503,15.00
3216,پرورش سبزی- پیازی ها,s971206105,5.124.156.93,Chrome 71.0,2021-04-27 21:00:14.847,2021-04-27 21:03:58.280,14.00
3216,پرورش سبزی- پیازی ها,s971206101,5.218.105.250,Chrome 88.0,2021-04-27 21:00:16.897,2021-04-27 21:04:26.677,14.00
3216,پرورش سبزی- پیازی ها,s971206104,5.218.8.163,Chrome 87.0,2021-04-27 21:00:10.363,2021-04-27 21:04:15.473,14.00
3216,پرورش سبزی- پیازی ها,s971206106,130.255.235.0,Firefox 88.0,2021-04-27 21:00:08.910,2021-04-27 21:04:24.300,15.00
3216,پرورش سبزی- پیازی ها,s971206107,93.110.73.132,Chrome 87.0,2021-04-27 21:00:11.113,2021-04-27 21:05:13.100,15.00
3216,پرورش سبزی- پیازی ها,s971206108,5.218.84.38,Chrome 38.0,2021-04-27 21:01:33.367,2021-04-27 21:04:39.810,13.00
3216,پرورش سبزی- پیازی ها,s971206110,85.239.214.59,Firefox 88.0,2021-04-27 21:00:11.113,2021-04-27 21:05:55.857,15.00
3216,پرورش سبزی- پیازی ها,s971206111,89.196.46.169,Chrome 90.0,2021-04-27 21:00:06.113,2021-04-27 21:04:09.497,16.00
3216,پرورش سبزی- پیازی ها,s971206112,5.22.91.204,Chrome 90.0,2021-04-27 21:00:07.393,2021-04-27 21:04:46.167,15.00
3216,پرورش سبزی- پیازی ها,s971206113,5.218.146.45,Chrome 85.0,2021-04-27 21:00:11.630,2021-04-27 21:03:35.373,15.00
3216,پرورش سبزی- پیازی ها,s971206115,93.110.228.180,Chrome 80.0,2021-04-27 21:00:44.850,2021-04-27 21:02:57.277,14.00
3216,پرورش سبزی- پیازی ها,s971206117,31.57.228.84,Chrome 89.0,2021-04-27 21:00:16.897,2021-04-27 21:04:06.170,14.00
3216,پرورش سبزی- پیازی ها,s971206118,5.22.80.184,Chrome 89.0,2021-04-27 21:00:02.957,2021-04-27 21:05:36.583,14.00
3216,پرورش سبزی- پیازی ها,s971206121,5.123.186.132,Chrome 87.0,2021-04-27 21:00:35.677,2021-04-27 21:04:44.260,14.00
3216,پرورش سبزی- پیازی ها,s971206122,5.218.56.219,Chrome 89.0,2021-04-27 21:00:12.707,2021-04-27 21:03:24.887,16.00
3216,پرورش سبزی- پیازی ها,s971206127,37.255.33.134,Chrome 87.0,2021-04-27 21:00:41.773,2021-04-27 21:05:18.973,15.00
3216,پرورش سبزی- پیازی ها,s971206901,69.194.107.105,Firefox 68.0,2021-04-27 21:00:13.347,2021-04-27 21:05:00.927,16.00
3216,پرورش سبزی- پیازی ها,s971206128,89.43.102.40,Chrome 89.0,2021-04-27 21:00:15.020,2021-04-27 21:03:54.187,16.00
3222,سواللات بخش عمومی,s981206202,5.218.67.41,Chrome 88.0,2021-04-29 21:01:55.337,2021-04-29 21:50:13.177,12.00
3222,سواللات بخش عمومی,s981206204,85.239.216.2,Chrome 86.0,2021-04-29 21:00:09.927,2021-04-29 21:46:30.810,15.00
3222,سواللات بخش عمومی,s981206208,5.250.13.128,Chrome 85.0,2021-04-29 21:00:06.067,2021-04-29 21:49:26.317,14.00
3222,سواللات بخش عمومی,s981206205,130.255.210.233,Chrome 61.0,2021-04-29 21:00:30.600,2021-04-29 21:50:01.427,10.00
3222,سواللات بخش عمومی,s971206901,85.239.196.219,Firefox 68.0,2021-04-29 21:00:07.520,2021-04-29 21:49:30.567,12.00
3222,سواللات بخش عمومی,s971206108,5.22.92.235,Chrome 83.0,2021-04-29 21:30:10.933,2021-04-29 21:50:05.537,15.00
3222,سواللات بخش عمومی,s981206209,5.124.50.61,Chrome 89.0,2021-04-29 21:00:10.050,2021-04-29 21:50:03.397,11.00
3222,سواللات بخش عمومی,s981206212,46.245.79.79,Chrome 90.0,2021-04-29 21:00:08.783,NULL,16.00
3222,سواللات بخش عمومی,s981206215,93.110.229.242,Chrome 90.0,2021-04-29 21:00:25.380,2021-04-29 21:49:05.767,9.00
3222,سواللات بخش عمومی,s981206218,5.218.214.245,Firefox 88.0,2021-04-29 21:00:11.597,2021-04-29 21:49:09.660,7.00
3222,سواللات بخش عمومی,s981206224,5.123.76.51,Chrome 90.0,2021-04-29 21:00:16.740,NULL,0.00
3222,سواللات بخش عمومی,s981206223,5.218.152.192,Chrome 90.0,2021-04-29 21:00:42.867,NULL,0.00
3222,سواللات بخش عمومی,s981206225,69.194.73.185,Chrome 90.0,2021-04-29 21:00:05.707,2021-04-29 21:48:19.237,13.00
3222,سواللات بخش عمومی,s981206232,164.215.229.76,Safari 14.0,2021-04-29 21:00:14.583,2021-04-29 21:48:08.313,12.00
3222,سواللات بخش عمومی,s981206230,89.34.150.240,Chrome 90.0,2021-04-29 21:00:18.287,2021-04-29 21:48:58.423,9.00
3222,سواللات بخش عمومی,s981206231,5.22.50.143,Chrome 90.0,2021-04-29 21:00:11.037,2021-04-29 21:51:00.543,9.00
3222,سواللات بخش عمومی,s981206226,5.250.64.235,Chrome 85.0,2021-04-29 21:00:54.100,2021-04-29 21:49:24.037,15.00
3340,آفات گیاهان باغبانی- میان ترم 2,s981206226,69.194.111.72,Chrome 85.0,2021-05-09 12:20:42.380,2021-05-09 12:45:47.503,12.00
3340,آفات گیاهان باغبانی- میان ترم 2,s981206231,158.58.43.255,Chrome 90.0,2021-05-09 12:20:26.177,2021-05-09 12:50:06.070,11.30
3340,آفات گیاهان باغبانی- میان ترم 2,s981206230,89.47.132.117,Chrome 90.0,2021-05-09 12:21:15.240,2021-05-09 12:50:21.193,14.00
3340,آفات گیاهان باغبانی- میان ترم 2,s981206232,86.57.112.138,Safari 14.0,2021-05-09 12:20:05.753,2021-05-09 12:49:01.707,13.00
3340,آفات گیاهان باغبانی- میان ترم 2,s981206205,NULL,NULL,NULL,NULL,0.00
3340,آفات گیاهان باغبانی- میان ترم 2,s981206225,5.53.56.17,Chrome 90.0,2021-05-09 12:21:49.037,2021-05-09 12:49:14.270,14.00
